causality_pair,x_variable,y_variable,best_lag,f_statistic,p_value,significant,lag_1_f_stat,lag_1_p_value,lag_2_f_stat,lag_2_p_value,lag_3_f_stat,lag_3_p_value,lag_4_f_stat,lag_4_p_value,lag_5_f_stat,lag_5_p_value
exchange_inflow → whale_volume_lag3,exchange_inflow,whale_volume_lag3,4,115.72460566833671,8.805289360910619e-92,True,2.1397187758644587,0.14363458357847272,83.38703920915653,5.912884907537344e-36,128.29094228951723,4.1482475706971867e-78,115.72460566833671,8.805289360910619e-92,91.6397887186102,7.17790622325309e-90
exchange_outflow → whale_volume_lag3,exchange_outflow,whale_volume_lag3,5,107.41287917900284,1.9755118021121176e-104,True,0.04087338399341643,0.8397964419081734,91.87942709749998,1.9514768314717542e-39,139.18419460557837,2.438242712304848e-84,119.16931580997546,2.3728123923009117e-94,107.41287917900284,1.9755118021121176e-104
whale_activity → whale_volume_lag1,whale_activity,whale_volume_lag1,4,86.8270600654806,7.992630178266549e-70,True,292.9463436117994,1.0842449375627902e-62,160.8210350589382,5.0911818927776105e-67,105.31921540319901,9.020141621045923e-65,86.8270600654806,7.992630178266549e-70,69.47789170319257,7.318043645601736e-69
net_flow_lag3 → net_flow,net_flow_lag3,net_flow,3,86.3413384380631,1.5168506128994908e-53,True,0.2746802172108739,0.6002487020384165,0.35932988387807246,0.6981745491888411,86.3413384380631,1.5168506128994908e-53,50.02297367124117,8.686081593030362e-41,29.38145892884586,3.33376361895919e-29
net_flow_lag6 → net_flow_lag3,net_flow_lag6,net_flow_lag3,3,86.26608731180622,1.682031563919885e-53,True,0.27296284381495745,0.6013903387556067,0.3440197621528354,0.7089433453479301,86.26608731180622,1.682031563919885e-53,49.940349214114924,1.0124289501347227e-40,29.421469092921253,3.0366357517784647e-29
whale_activity → whale_volume_lag3,whale_activity,whale_volume_lag3,4,75.83649859556323,2.7981541141361347e-61,True,0.4020461311085165,0.5260835324726438,39.160668247756014,1.6387546159865056e-17,93.03362992417811,1.5872712292653234e-57,75.83649859556323,2.7981541141361347e-61,60.88852478634994,1.5252607110410474e-60
exchange_outflow → whale_volume_lag6,exchange_outflow,whale_volume_lag6,5,62.739572537869,2.4109236936164254e-62,True,0.5627011812585828,0.45323367853936647,0.5216723973348497,0.5935818292067688,2.232059277738036,0.08247337022273173,2.783658077791612,0.025275722575335245,62.739572537869,2.4109236936164254e-62
whale_volume_ma7 → exchange_inflow,whale_volume_ma7,exchange_inflow,1,59.44273493823025,1.7080137656643863e-14,True,59.44273493823025,1.7080137656643863e-14,28.307554860733795,6.647019794517689e-13,19.882847190093948,9.31928125196439e-13,13.116903838276313,1.3640345260177084e-10,10.15007411047837,1.1788327094832787e-09
exchange_inflow → whale_volume_lag6,exchange_inflow,whale_volume_lag6,5,59.337848297599606,4.963319698921804e-59,True,0.030797473164726596,0.860705014712275,0.0913939634024961,0.9126606693708307,0.801739939344031,0.49277019867262084,3.4053760180880115,0.008707496613283476,59.337848297599606,4.963319698921804e-59
whale_volume_ma30 → exchange_inflow,whale_volume_ma30,exchange_inflow,1,51.26553380286322,1.0138252817900165e-12,True,51.26553380286322,1.0138252817900165e-12,24.5407869464661,2.6898823835978607e-11,18.532663351371045,6.57071138532398e-12,12.842624236634428,2.2922184920608503e-10,10.270741579997724,8.9114045617227e-10
